Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2024-12-18,2484.43,1,27.62,1.12,2463.06,2492.0,2462.82,441677820,8338565732727,2033135712509950.0
2024-12-19,2435.93,2,-48.5,-1.95,2426.55,2450.05,2423.59,504467068,8443749654047,1993417137823852.8
2024-12-20,2404.15,2,-31.78,-1.3,2429.63,2430.69,2389.86,617782376,9347347558007,1967064816798788.0
2024-12-23,2442.01,1,37.86,1.57,2423.36,2446.97,2413.62,428166806,7375539570358,1998047401443676.0
2024-12-24,2440.52,2,-1.49,-0.06,2450.55,2452.85,2432.42,386777917,6740790173171,1997825853682132.8
2024-12-26,2429.67,2,-10.85,-0.44,2449.52,2449.52,2428.82,322800054,6410407187557,1989005161072952.8
2024-12-27,2404.77,2,-24.9,-1.02,2419.46,2423.86,2388.33,311291279,6339606976315,1966956732701404.8
2024-12-30,2399.49,2,-5.28,-0.22,2397.49,2429.75,2390.44,303963509,5315451121758,1963328801432072.8
2025-01-02,2398.94,2,-0.55,-0.02,2400.87,2410.99,2386.84,350691927,6958648750080,1963454272081159.2
2025-01-03,2441.92,1,42.98,1.79,2402.58,2454.67,2402.58,407536387,8230070287923,1998126924797076.8
2025-01-06,2488.64,1,46.72,1.91,2453.3,2489.1,2446.82,302760981,8142307849602,2036394312458755.2
2025-01-07,2492.1,1,3.46,0.14,2513.49,2521.86,2492.09,407692929,9405964049041,2038522932687508.0
2025-01-08,2521.05,1,28.95,1.16,2481.25,2526.77,2481.25,362908922,10391057773317,2062626681696110.0
2025-01-09,2521.9,1,0.85,0.03,2526.1,2535.87,2515.82,404290371,11524453907612,2063837692886240.0
2025-01-10,2515.78,2,-6.12,-0.24,2528.42,2535.24,2506.29,377586658,9691007647524,2058638841592924.0
2025-01-13,2489.56,2,-26.22,-1.04,2508.15,2513.93,2483.73,578565446,9049053425756,2036397074805700.0
2025-01-14,2497.4,1,7.84,0.31,2501.49,2504.89,2482.74,414487640,8199244671041,2042488521677972.0
2025-01-15,2496.81,2,-0.59,-0.02,2511.07,2524.36,2493.1,538534310,9176243659173,2041769170734816.0
2025-01-16,2527.49,1,30.68,1.23,2528.27,2534.01,2519.86,451062578,9432261340912,2065809157709104.0
2025-01-17,2523.55,2,-3.94,-0.16,2520.85,2528.48,2513.84,445884915,10011839897387,2062320503702578.0
2025-01-20,2520.05,2,-3.5,-0.14,2533.68,2536.72,2516.28,437546001,8663518721587,2059663885223968.0
2025-01-21,2518.03,2,-2.02,-0.08,2533.23,2548.44,2507.95,572011300,9323573978039,2058259490075974.0
2025-01-22,2547.06,1,29.03,1.15,2535.8,2552.57,2526.89,583737394,11074514904158,2081713985266172.8
