Date,Open,High,Low,Close,Volume,Change
2023-09-14,223000,226000,220500,225500,990793,1.58
2023-09-15,225000,230000,224500,229500,1162871,1.77
2023-09-18,227000,229000,221500,221500,720909,-3.49
2023-09-19,222000,222000,219000,219500,448589,-0.9
2023-09-20,219000,221500,216500,217500,374274,-0.91
2023-09-21,215000,216500,210000,210000,685787,-3.45
2023-09-22,206500,210000,206000,208000,485769,-0.95
2023-09-25,209000,211500,206000,206500,490044,-0.72
2023-09-26,207000,207500,200000,201000,660374,-2.66
2023-09-27,198000,202500,197600,201500,419270,0.25
2023-10-04,196000,198100,191200,191200,1163452,-5.11
2023-10-05,192500,193800,189000,189400,622759,-0.94
2023-10-06,189300,192300,189200,190900,403501,0.79
2023-10-10,192800,196300,189800,191200,627779,0.16
2023-10-11,194000,195800,192800,193000,603727,0.94
2023-10-12,193700,194900,191500,193600,570782,0.31
2023-10-13,191700,193700,190900,191800,368249,-0.93
2023-10-16,190500,192000,188400,189700,568781,-1.09
2023-10-17,191500,192800,188500,188500,512662,-0.63
2023-10-18,188400,190000,185500,186300,531306,-1.17
2023-10-19,183100,183600,180700,181400,789241,-2.63
2023-10-20,178400,181600,178000,180200,579075,-0.66
2023-10-23,179300,182200,178200,178300,446010,-1.05
2023-10-24,181500,187100,180100,187000,802790,4.88
2023-10-25,189900,191200,184800,189100,802846,1.12
2023-10-26,184000,186800,181300,181900,757629,-3.81
2023-10-27,183400,186300,182500,185400,520566,1.92
2023-10-30,184100,187200,183000,186100,392043,0.38
2023-10-31,191000,192700,186700,187400,823369,0.7
2023-11-01,190000,191600,187000,187700,511161,0.16
2023-11-02,191100,192700,190300,190800,633508,1.65
2023-11-03,195800,200500,193100,200500,1272388,5.08
2023-11-06,204500,207500,200000,205500,1000560,2.49
2023-11-07,202500,204000,197600,200500,782666,-2.43
2023-11-08,200000,202000,197400,197400,586525,-1.55
2023-11-09,197100,200500,196000,198200,592942,0.41
2023-11-10,196300,198500,193500,194700,674585,-1.77
2023-11-13,197400,199000,192500,192600,499910,-1.08
2023-11-14,194100,198900,194000,198600,478385,3.12
2023-11-15,203500,206000,202000,205500,846436,3.47
2023-11-16,204000,204500,200500,203000,425403,-1.22
2023-11-17,203000,204000,200000,202000,406874,-0.49
2023-11-20,200500,203500,200000,202500,272327,0.25
2023-11-21,205000,207500,204000,204500,463033,0.99
2023-11-22,202500,207500,200500,207500,357391,1.47
2023-11-23,206500,208000,204500,205500,345224,-0.96
2023-11-24,205500,207500,204000,205500,335280,0.0
2023-11-27,205500,211000,205000,206000,538210,0.24
2023-11-28,208000,210000,204500,207500,550801,0.73
2023-11-29,208500,209000,205500,207500,496563,0.0
2023-11-30,206500,209500,206500,208000,642304,0.24
2023-12-01,208000,210000,204000,206000,542598,-0.96
2023-12-04,208000,214000,207500,210500,706500,2.18
2023-12-05,210000,216500,209500,213000,890514,1.19
2023-12-06,214000,215500,212500,213500,494143,0.23
2023-12-07,214000,215000,210000,212500,521170,-0.47
2023-12-08,215500,219000,215000,217500,685720,2.35
2023-12-11,218500,220500,215000,217500,513760,0.0
2023-12-12,216500,219500,212500,213500,710270,-1.84
2023-12-13,212000,215500,212000,213500,435945,0.0
2023-12-14,218500,225000,217000,223000,1761941,4.45
2023-12-15,223000,226500,222000,226000,899325,1.35
2023-12-18,226000,226500,222000,223000,555176,-1.33
2023-12-19,222500,224500,221000,222500,497403,-0.22
2023-12-20,224000,225500,219500,220500,874344,-0.9
2023-12-21,218500,220000,215500,216500,844340,-1.81
2023-12-22,218500,219000,215000,215000,571741,-0.69
2023-12-26,216500,217500,215000,215500,458545,0.23
2023-12-27,216000,223000,215500,223000,609910,3.48
2023-12-28,224000,224000,221000,224000,525435,0.45
2024-01-02,222500,229000,221000,227500,716469,1.56
2024-01-03,223500,224000,220000,222000,690960,-2.42
2024-01-04,221000,225500,220500,223000,538911,0.45
2024-01-05,222500,224000,219500,220500,387884,-1.12
2024-01-08,222000,231500,222000,226500,1054917,2.72
2024-01-09,229500,233000,228500,229500,835945,1.32
2024-01-10,229500,233500,227000,231000,702562,0.65
2024-01-11,232500,234500,229500,231500,879647,0.22
2024-01-12,232000,232500,228000,230500,516678,-0.43
2024-01-15,230000,230500,223500,229500,536029,-0.43
2024-01-16,227500,235500,227000,230000,695734,0.22
2024-01-17,228500,230500,218500,219000,961856,-4.78
2024-01-18,217000,219500,215000,216500,730722,-1.14
2024-01-19,219000,221500,213500,215500,916193,-0.46
2024-01-22,219000,222500,217000,217000,533513,0.7
2024-01-23,218000,219500,215500,218000,388908,0.46
2024-01-24,219000,219500,215500,218000,380731,0.0
2024-01-25,216000,217000,212500,213500,582265,-2.06
2024-01-26,211500,218500,211500,216500,406869,1.41
2024-01-29,216500,218000,211500,212000,616505,-2.08
2024-01-30,214000,214500,208000,209500,614246,-1.18
2024-01-31,208500,209500,200000,200500,1318605,-4.3
2024-02-01,199500,202500,198600,202500,818613,1.0
2024-02-02,209500,221500,208000,221500,1841501,9.38
2024-02-05,220500,221500,208000,208000,1721981,-6.09
2024-02-06,208000,209000,203500,205500,896400,-1.2
2024-02-07,208000,209500,204000,204500,706209,-0.49
2024-02-08,206500,208000,205000,206000,628984,0.73
2024-02-13,206500,208000,204500,205000,860778,-0.49
2024-02-14,200500,203500,199300,202500,627951,-1.22
2024-02-15,205000,209500,203500,203500,945641,0.49
2024-02-16,205500,209000,204000,205000,999143,0.74
2024-02-19,206500,206500,203000,203500,618150,-0.73
