Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2024-05-27,847.99,1,8.58,1.02,843.76,848.13,836.65,981440807,9340390857378,410165214676148.0
2024-05-28,851.01,1,3.02,0.36,847.46,852.42,846.9,1148225055,9960641370582,411677608483342.0
2024-05-29,838.45,2,-12.56,-1.48,849.6,849.93,838.08,1384716711,10766971151000,405647854868224.0
2024-05-30,831.99,2,-6.46,-0.77,835.63,840.74,831.02,1405317114,8496990950289,402631724588134.0
2024-05-31,839.98,1,7.99,0.96,835.01,840.02,829.81,1450490944,10007816964183,406681137954135.0
2024-06-03,844.72,1,4.74,0.56,840.33,847.07,839.58,976797379,8191973620701,409063344101680.0
2024-06-04,845.84,1,1.12,0.13,844.62,851.49,841.81,911007481,9236772575223,409581104366279.0
2024-06-05,850.75,1,4.91,0.58,849.33,852.18,844.13,904879338,8887982371635,411865372966478.0
2024-06-07,866.18,1,15.43,1.81,856.17,866.48,855.06,848540748,9437829678479,419264242261538.0
2024-06-10,864.71,2,-1.47,-0.17,862.21,867.6,860.9,907182555,8973179558983,418549156755761.0
2024-06-11,868.36,1,3.65,0.42,866.88,872.36,865.91,1038631016,10531409778429,420619690832371.0
2024-06-12,870.67,1,2.31,0.27,871.36,876.45,867.32,1216392791,10069103447690,421737670030455.0
2024-06-13,871.33,1,0.66,0.08,879.52,879.52,871.12,928797135,10463216347346,422139582391471.0
2024-06-14,862.19,2,-9.14,-1.05,872.69,873.37,859.69,975480817,9726959121242,418141571468150.0
2024-06-17,858.96,2,-3.23,-0.37,860.13,864.1,857.11,820229604,8502476722570,416859823539871.0
2024-06-18,858.95,2,-0.01,0.0,863.32,864.81,855.35,1040183311,8654997358135,416903210087625.0
2024-06-19,861.17,1,2.22,0.26,860.66,866.21,856.16,1034309030,10450918240213,418432679641769.0
2024-06-20,857.51,2,-3.66,-0.43,861.44,864.7,854.94,637742101,7003567573303,416819925535105.0
2024-06-21,852.67,2,-4.84,-0.56,853.48,856.02,848.5,772539603,8751413705672,414383700647201.0
2024-06-24,841.52,2,-11.15,-1.31,852.27,852.48,841.43,670004479,7955141869617,407991203631732.0
2024-06-25,841.99,1,0.47,0.06,839.5,844.54,836.12,663208108,7339612913534,408597094131118.0
2024-06-26,842.12,1,0.13,0.02,845.91,846.76,839.34,704558912,7617321555847,408442645415793.0
2024-06-27,838.65,2,-3.47,-0.41,841.12,844.62,837.8,814034565,7937287191522,407397656618860.0
2024-06-28,840.44,1,1.79,0.21,840.11,842.36,838.29,706932845,7321536603476,408441870824854.0
2024-07-01,847.15,1,6.71,0.8,840.59,847.97,840.4,620756906,6929624138187,411604081198769.0
2024-07-02,829.91,2,-17.24,-2.04,846.86,847.39,828.49,710212435,8107543293457,403618973094456.0
2024-07-03,836.1,1,6.19,0.75,832.98,838.89,829.5,788691572,9529990500122,406824513118905.0
2024-07-04,840.81,1,4.71,0.56,838.9,844.1,838.9,744760897,9354583327555,409102397857569.0
2024-07-05,847.49,1,6.68,0.79,842.5,849.25,841.98,780462523,9384499215019,412398593991687.0
2024-07-08,859.27,1,11.78,1.39,848.59,859.27,848.59,742509474,8179747977284,418234996505161.0
2024-07-09,860.42,1,1.15,0.13,860.18,864.11,857.6,1054271596,8484198563008,418971828381828.0
2024-07-10,858.55,2,-1.87,-0.22,859.01,860.82,854.6,896435778,8565232761544,418121330487575.0
2024-07-11,852.42,2,-6.13,-0.71,861.73,862.61,851.72,835015840,8169459144758,415164382922215.0
2024-07-12,850.37,2,-2.05,-0.24,848.04,855.03,845.03,764433527,7235503380357,414596604716717.0
2024-07-15,852.88,1,2.51,0.3,852.62,852.93,847.68,785845593,6486599651664,416237188378745.0
2024-07-16,839.61,2,-13.27,-1.56,850.96,851.2,837.29,874489482,7429451763590,409797183696528.0
2024-07-17,829.41,2,-10.2,-1.21,841.28,843.1,829.09,828952049,7550079588231,404871434066473.0
2024-07-18,822.48,2,-6.93,-0.84,820.14,824.96,812.9,869763288,6962993877483,401340814371848.0
2024-07-19,828.72,1,6.24,0.76,820.29,828.82,819.13,871199222,6829503353816,404476690034930.0
2024-07-22,809.96,2,-18.76,-2.26,827.98,828.09,806.79,906825881,6672158671514,395473474975784.0
2024-07-23,812.12,1,2.16,0.27,816.3,821.93,808.79,939604507,7337302776210,396591999419808.0
2024-07-24,814.25,1,2.13,0.26,809.45,819.81,807.55,837075545,6592744769081,397953150296098.0
2024-07-25,797.29,2,-16.96,-2.08,802.28,803.55,794.23,1028813371,7279396749359,389656454953215.0
2024-07-26,797.56,1,0.27,0.03,799.97,802.06,795.02,777351033,5633297429607,389782787010577.0
2024-07-29,807.99,1,10.43,1.31,800.64,808.73,800.39,652991784,5369235256500,395001489276168.0
2024-07-30,803.78,2,-4.21,-0.52,805.17,807.38,800.36,842014161,6262355850075,392989281839238.0
2024-07-31,803.15,2,-0.63,-0.08,802.0,804.17,795.18,798865690,6721266011495,392874559959322.0
2024-08-01,813.53,1,10.38,1.29,807.52,815.28,807.5,644080648,6080752756837,398072444104279.0
2024-08-02,779.33,2,-34.2,-4.2,799.45,799.97,778.39,845791135,6546468714529,381414823377601.0
2024-08-05,691.28,2,-88.05,-11.3,765.57,765.57,672.57,1173846825,9066223782493,338426509024749.0
2024-08-06,732.87,1,41.59,6.02,709.04,738.77,707.72,1075212515,8382026162702,358723663797159.0
2024-08-07,748.54,1,15.67,2.14,731.82,754.41,731.44,947156032,7334433918703,366522462543246.0
2024-08-08,745.28,2,-3.26,-0.44,738.29,751.51,732.74,1012600626,7169986316501,364930928587311.0
2024-08-09,764.43,1,19.15,2.57,759.91,768.21,759.91,843851627,7392824528898,374306000593340.0
2024-08-12,772.72,1,8.29,1.08,767.21,775.31,767.21,885107713,6850311923367,378459539805823.0
2024-08-13,764.86,2,-7.86,-1.02,771.98,773.9,757.19,1170514267,7661966415523,374521308064886.0
2024-08-14,776.83,1,11.97,1.56,775.11,778.66,774.17,1111020235,7691492106390,380339149089802.0
