ticker,name,signal_date,avg_target,cur_price,gap_pct,return_pct,excess_return_pct
005930,삼성전자,2025-11-03,131000.0,111100,17.91,-1.43,1.65
005930,삼성전자,2025-11-03,137333.0,111100,23.61,-1.43,1.65
005930,삼성전자,2025-12-03,137333.0,104500,31.42,32.16,19.82
005930,삼성전자,2025-12-10,142333.0,108000,31.79,28.24,14.08
005930,삼성전자,2025-12-17,145000.0,107900,34.38,34.94,12.63
005930,삼성전자,2025-12-17,145000.0,107900,34.38,34.94,12.63
000660,SK하이닉스,2023-01-16,110000.0,85800,28.21,8.02,3.98
000660,SK하이닉스,2023-01-26,113333.0,92300,22.79,-0.55,1.89
000660,SK하이닉스,2023-02-02,115000.0,93400,23.13,-2.71,-1.99
000660,SK하이닉스,2023-02-02,116667.0,93400,24.91,-2.71,-1.99
000660,SK하이닉스,2023-02-02,115000.0,93400,23.13,-2.71,-1.99
000660,SK하이닉스,2023-02-02,111667.0,93400,19.56,-2.71,-1.99
000660,SK하이닉스,2023-02-02,115000.0,93400,23.13,-2.71,-1.99
000660,SK하이닉스,2023-02-02,113333.0,93400,21.34,-2.71,-1.99
000660,SK하이닉스,2023-02-02,116667.0,93400,24.91,-2.71,-1.99
000660,SK하이닉스,2023-02-22,113333.0,89100,27.2,-5.83,-4.84
000660,SK하이닉스,2023-03-15,116667.0,79100,47.49,12.28,4.55
000660,SK하이닉스,2023-03-15,113333.0,79100,43.28,12.28,4.55
000660,SK하이닉스,2023-03-17,116667.0,84000,38.89,5.73,-2.53
000660,SK하이닉스,2023-03-20,113333.0,83700,35.4,4.78,-2.87
000660,SK하이닉스,2023-03-30,113333.0,88800,27.63,1.02,0.02
000660,SK하이닉스,2023-04-04,113333.0,84500,34.12,4.85,4.62
000660,SK하이닉스,2023-04-05,115000.0,84600,35.93,5.85,3.65
000660,SK하이닉스,2023-04-27,115000.0,88800,29.5,21.34,18.32
000660,SK하이닉스,2023-04-27,111667.0,88800,25.75,21.34,18.32
000660,SK하이닉스,2023-04-27,113333.0,88800,27.63,21.34,18.32
000660,SK하이닉스,2023-04-27,113333.0,88800,27.63,21.34,18.32
000660,SK하이닉스,2023-04-27,113333.0,88800,27.63,21.34,18.32
000660,SK하이닉스,2023-04-27,110000.0,88800,23.87,21.34,18.32
000660,SK하이닉스,2023-04-27,113333.0,88800,27.63,21.34,18.32
000660,SK하이닉스,2023-04-27,113333.0,88800,27.63,21.34,18.32
000660,SK하이닉스,2023-04-27,116667.0,88800,31.38,21.34,18.32
000660,SK하이닉스,2023-04-27,115000.0,88800,29.5,21.34,18.32
000660,SK하이닉스,2023-04-27,116667.0,88800,31.38,21.34,18.32
000660,SK하이닉스,2023-05-17,116667.0,91900,26.95,22.65,18.91
000660,SK하이닉스,2023-05-31,121667.0,108600,12.03,4.44,4.63
000660,SK하이닉스,2023-06-05,128333.0,108700,18.06,8.06,9.45
000660,SK하이닉스,2023-06-12,138333.0,114800,20.5,-5.1,-2.24
000660,SK하이닉스,2023-06-21,145000.0,115100,25.98,2.54,2.29
000660,SK하이닉스,2023-06-26,150000.0,113500,32.16,0.35,-1.78
000660,SK하이닉스,2023-06-30,150000.0,115200,30.21,4.93,3.77
000660,SK하이닉스,2023-07-05,138333.0,116700,18.54,5.45,3.53
000660,SK하이닉스,2023-07-27,144000.0,124000,16.13,-9.45,-6.96
000660,SK하이닉스,2023-07-27,152667.0,124000,23.12,-9.45,-6.96
000660,SK하이닉스,2023-07-27,149333.0,124000,20.43,-9.45,-6.96
000660,SK하이닉스,2023-07-27,152667.0,124000,23.12,-9.45,-6.96
000660,SK하이닉스,2023-07-27,143333.0,124000,15.59,-9.45,-6.96
000660,SK하이닉스,2023-07-27,140000.0,124000,12.9,-9.45,-6.96
000660,SK하이닉스,2023-09-14,137333.0,122200,12.38,3.1,11.8
000660,SK하이닉스,2023-09-19,147333.0,119200,23.6,8.05,15.73
000660,SK하이닉스,2023-09-26,151667.0,115000,31.88,4.88,11.52
000660,SK하이닉스,2023-10-10,155000.0,119500,29.71,7.05,8.21
000660,SK하이닉스,2023-10-17,159333.0,130000,22.56,3.15,2.18
000660,SK하이닉스,2023-10-27,156000.0,119100,30.98,9.74,1.73
000660,SK하이닉스,2023-10-27,155333.0,119100,30.42,9.74,1.73
000660,SK하이닉스,2023-10-27,149333.0,119100,25.38,9.74,1.73
000660,SK하이닉스,2023-10-27,152667.0,119100,28.18,9.74,1.73
000660,SK하이닉스,2023-10-27,153333.0,119100,28.74,9.74,1.73
000660,SK하이닉스,2023-10-27,148000.0,119100,24.27,9.74,1.73
000660,SK하이닉스,2023-10-27,148000.0,119100,24.27,9.74,1.73
000660,SK하이닉스,2023-10-30,142333.0,119100,19.51,12.98,2.28
000660,SK하이닉스,2023-11-07,154333.0,130400,18.35,-1.57,-4.61
000660,SK하이닉스,2023-11-13,154333.0,131800,17.1,0.77,-3.42
000660,SK하이닉스,2023-11-28,148333.0,131400,12.89,8.51,3.14
000660,SK하이닉스,2023-12-11,148333.0,128900,15.08,2.37,2.77
000660,SK하이닉스,2023-12-14,151000.0,136700,10.46,-6.43,-1.45
000660,SK하이닉스,2023-12-29,167000.0,141500,18.02,-3.86,2.54
000660,SK하이닉스,2024-01-15,177000.0,134100,31.99,12.57,7.91
000660,SK하이닉스,2024-01-22,182667.0,142600,28.1,11.15,3.66
000660,SK하이닉스,2024-01-23,176000.0,140800,25.0,14.06,6.05
000660,SK하이닉스,2024-01-26,169333.0,136000,24.51,17.04,10.97
000660,SK하이닉스,2024-01-26,163667.0,136000,20.34,17.04,10.97
000660,SK하이닉스,2024-01-26,172667.0,136000,26.96,17.04,10.97
000660,SK하이닉스,2024-01-26,176000.0,136000,29.41,17.04,10.97
000660,SK하이닉스,2024-01-26,176000.0,136000,29.41,17.04,10.97
000660,SK하이닉스,2024-01-26,169333.0,136000,24.51,17.04,10.97
000660,SK하이닉스,2024-01-26,172667.0,136000,26.96,17.04,10.97
000660,SK하이닉스,2024-01-26,158333.0,136000,16.42,17.04,10.97
000660,SK하이닉스,2024-01-26,163333.0,136000,20.1,17.04,10.97
000660,SK하이닉스,2024-01-26,151667.0,136000,11.52,17.04,10.97
000660,SK하이닉스,2024-01-29,167667.0,135000,24.2,14.1,8.35
000660,SK하이닉스,2024-01-31,164667.0,134700,22.25,24.94,20.74
000660,SK하이닉스,2024-03-14,188667.0,161900,16.53,16.75,16.61
000660,SK하이닉스,2024-03-22,199000.0,169800,17.2,0.94,5.13
000660,SK하이닉스,2024-03-27,212333.0,181200,17.18,-0.22,3.03
000660,SK하이닉스,2024-04-02,212333.0,186300,13.97,-3.35,-2.23
000660,SK하이닉스,2024-04-15,230000.0,188200,22.21,6.03,1.62
000660,SK하이닉스,2024-04-26,233333.0,177800,31.23,11.26,13.19
000660,SK하이닉스,2024-04-26,233333.0,177800,31.23,11.26,13.19
000660,SK하이닉스,2024-04-26,230000.0,177800,29.36,11.26,13.19
000660,SK하이닉스,2024-04-26,223333.0,177800,25.61,11.26,13.19
000660,SK하이닉스,2024-04-26,226667.0,177800,27.48,11.26,13.19
000660,SK하이닉스,2024-04-26,220000.0,177800,23.73,11.26,13.19
000660,SK하이닉스,2024-04-26,215000.0,177800,20.92,11.26,13.19
000660,SK하이닉스,2024-04-26,211667.0,177800,19.05,11.26,13.19
000660,SK하이닉스,2024-04-26,205000.0,177800,15.3,11.26,13.19
000660,SK하이닉스,2024-04-26,213333.0,177800,19.99,11.26,13.19
000660,SK하이닉스,2024-04-26,216667.0,177800,21.86,11.26,13.19
000660,SK하이닉스,2024-04-26,210000.0,177800,18.11,11.26,13.19
000660,SK하이닉스,2024-05-07,206667.0,179600,15.07,16.57,17.39
000660,SK하이닉스,2024-06-24,278333.0,223000,24.81,-8.89,-8.89
000660,SK하이닉스,2024-07-09,293333.0,238500,22.99,-29.16,-18.72
000660,SK하이닉스,2024-07-11,293333.0,241000,21.72,-26.39,-16.99
000660,SK하이닉스,2024-07-26,293333.0,191800,52.94,-10.53,-7.77
000660,SK하이닉스,2024-07-26,263333.0,191800,37.3,-10.53,-7.77
000660,SK하이닉스,2024-07-26,263333.0,191800,37.3,-10.53,-7.77
000660,SK하이닉스,2024-07-26,260000.0,191800,35.56,-10.53,-7.77
000660,SK하이닉스,2024-07-26,276667.0,191800,44.25,-10.53,-7.77
000660,SK하이닉스,2024-07-26,286667.0,191800,49.46,-10.53,-7.77
000660,SK하이닉스,2024-07-26,273333.0,191800,42.51,-10.53,-7.77
000660,SK하이닉스,2024-07-26,250000.0,191800,30.34,-10.53,-7.77
000660,SK하이닉스,2024-07-26,246667.0,191800,28.61,-10.53,-7.77
000660,SK하이닉스,2024-07-26,253333.0,191800,32.08,-10.53,-7.77
000660,SK하이닉스,2024-07-26,275000.0,191800,43.38,-10.53,-7.77
000660,SK하이닉스,2024-07-26,247333.0,191800,28.95,-10.53,-7.77
000660,SK하이닉스,2024-07-29,274000.0,195600,40.08,-5.08,-3.32
000660,SK하이닉스,2024-08-06,252333.0,163700,54.14,-5.85,-6.12
000660,SK하이닉스,2024-09-20,266667.0,157100,69.74,22.35,23.15
000660,SK하이닉스,2024-09-24,250000.0,163500,52.91,18.57,17.95
000660,SK하이닉스,2024-09-26,283333.0,180900,56.62,6.09,8.21
000660,SK하이닉스,2024-10-02,293333.0,169100,73.47,11.43,10.68
000660,SK하이닉스,2024-10-04,296667.0,174100,70.4,4.49,5.77
000660,SK하이닉스,2024-10-11,285000.0,186000,53.23,2.72,6.21
000660,SK하이닉스,2024-10-17,276667.0,196000,41.16,-4.86,1.96
000660,SK하이닉스,2024-10-25,276667.0,201000,37.65,-9.69,-6.7
000660,SK하이닉스,2024-10-25,285000.0,201000,41.79,-9.69,-6.7
000660,SK하이닉스,2024-10-25,283333.0,201000,40.96,-9.69,-6.7
000660,SK하이닉스,2024-10-25,263333.0,201000,31.01,-9.69,-6.7
000660,SK하이닉스,2024-10-25,256667.0,201000,27.69,-9.69,-6.7
000660,SK하이닉스,2024-10-25,256667.0,201000,27.69,-9.69,-6.7
000660,SK하이닉스,2024-10-25,244333.0,201000,21.56,-9.69,-6.7
000660,SK하이닉스,2024-10-25,247667.0,201000,23.22,-9.69,-6.7
000660,SK하이닉스,2024-10-25,247667.0,201000,23.22,-9.69,-6.7
000660,SK하이닉스,2024-10-25,276667.0,201000,37.65,-9.69,-6.7
000660,SK하이닉스,2024-10-31,271667.0,186300,45.82,-12.24,-8.84
000660,SK하이닉스,2024-11-22,255000.0,176700,44.31,-4.18,-0.54
000660,SK하이닉스,2024-11-27,241667.0,168300,43.59,8.32,12.31
000660,SK하이닉스,2024-11-28,233333.0,161100,44.84,8.76,11.05
000660,SK하이닉스,2024-11-28,263333.0,161100,63.46,8.76,11.05
000660,SK하이닉스,2024-12-09,253333.0,168900,49.99,19.42,15.37
000660,SK하이닉스,2025-01-06,273333.0,199800,36.8,1.59,0.42
000660,SK하이닉스,2025-01-10,270000.0,203500,32.68,8.08,4.0
